,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
854,,,,"Overseas Education Fund International ","OEFI",,19-Jun-1986,"Elsie F. SMITH             Willie CAMPBELL","Edifice Sonapi, P-au-P",,"246-1497",,"Education, Health, Food Security",,,,"# 82-A, 9/10/86",
,,,"lo","Plate-Forme des Organisations de la Zone Métropolitaine","COZPAM",,,"Jean-Robert Pierre, (509) 3445-8602","102 Rue Pavée à l’étage, Angle rue Monseigneur Guilloux et Dr Aubry",,"3445-8602","Haiti","Education ","Département de l’Ouest, Port-au-Prince",,"Haiti",,"COZPAM est une plate-forme d’organisation  communautaire travaillant à l’amélioration des conditions de vie des plus démunis dans différents quartiers de la zone métropolitaine en particulier les enfants. COZPAM œuvre surtout dans le plaidoyer pour le droit à la citoyenneté et l’accès à une éducation de qualité pour tous."
958,,,,"Rhema International ","RI",,15-Dec-1983,"Korbin LAIMENGER             Joël SAINT-AMOUR  ","BP.15009, P-V",,"257-7058",,"Education, Health, ",,,,"# 22, 19/3/84",
971,"q",,,"Save The Children Canada ","SCC",,13-Jun-1984,"Janet E. BAUMAN","18, Rue Emeric, Montana, P-V                                   aecanada@savethechildrencanada-haiti.org            www.savethechildren.ca              ",,"513-6503",,"Education, Agriculture, Economic Development","Haïti",,"Canadian","# 76, 29/10/84",
977,,,,"Secours aux Aveugles et Handicapés ","SADEC","B-0204",12-Apr-1987,"Inesse JOSEPH","2, Pèlerin Timoulin 1ère maison à gauche, rue T. Louverture",,"257-1723",,"Education, Health, ","Plateau Central (cerca-cavajal)",,"Haitian",,
985,,,,"Service Protestant, de Mission, Département Evangélique Français d'Action Apostolique ","DEFAP","B-0286",19-Mar-2002,"Mme. Marie Louise THOMEN","7, Rue Fernand, Pont- Morin, Canapé-Vert",,"245-1339",,"Education ","Cap-Haïtien                          Gonaïves",,"French",,
1016,,,,"Solidarité des Paysans de Boucan Carre ","SOPABO","B-0162",13-Aug-1993,"Alfred LOUIS","Hale Leta PO.1703, P-au-P",,,,"Education, Health, Economic Development","Boucan Carré",,"Haitian","# 69, p.860, 30/8/93  ",
1027,,,,"Son Light Missions ","SLM",,26-Sep-1985,"René W. CLUGSTON","55, Rue Clerveau,  P-V",,"257-2286",,"Education, Health, Economic Development",,,,"# 82, 25/11/85",
1054,,,,"Union Evangélique Baptiste d'Haïti ","UEBH",,2-Feb-1987,"Pasteur Joël LALOI","4ème Ave. Route des Dalles # 261, BP.458, P-au-P",,"223-0271",,"Education, Health, Economic Development","West",,"Haitian","# 27, 2/4/87",
"x",,,"c","Université Notre Dame d'Haïti",,,,,"Rue Sapotille HT6113 Port-au-Prince Haiti","http://www.undh.org/ ","2245-8121",,"Education ",,,,,
1086,,,,"Volontaires Initiatives de Développement Economique et Social ","VISES","B-0225",18-Jan-1996,"Guido D'ELIA","Rue Rival, Cap-Haïtien",,"262-1048",,"Education ","North (Cap)",,"Italian",,
1093,,,,"World Harvest For Christ ","WHFC",,17-Nov-1988,"Miriam L.FREDERICK / Rév Dale Kenneth HIPP","156, Poste Cazeau, BP.13101",,"245-1220",,"Education, Health, Economic Development","West",,"American","# 20, 9/3/88",
,,,"gc","Yele Haiti/ Ayiti ",,,,"Hugh Locke, President of Yele, hugh@yele.org","PO Box 2345 New York, NY 10108","www.yele.org","(914) 944-4411",,"Education, Microfiance, ",,,,,
1102,,,,"Youth Pionner of Haïti/ Jeunesse Pionnière d'Haïti","YPH","B-0413",13-Mar-2007,"Emmanuel EBNOTI","Complexe 384, Route de Delmas",,"257-3225",,"Education ","Port-au-Prince            Fond Parisien",,"American",,
9,,,,"Action  Affirmative","AA","B-0354",26-May-2004,"Clovis Salomon","8, Ave Martin L. King,Nazon",,"246-4197",,"Environment, Health, Education","Critical zones threatened of erosion and neglect",,"Haitian",,
64,,,,"Amicale des Saint-Marcois Reunis","L'AMICALE",,13-Aug-1993,"Me Lys FIGARO","Rue Louverture, Saint-Marc",,"2279-1830",,"Environment ",,,,,"Fermee"
80,,,,"Association des artistes et artisans de Croix des Bouquets","ADAAC",,,"Eddy Jean Remy","12 route de Noailles, Croix des bouquets","adaac-21@yahoo.fr,   www.croixdesbouquets.net","3689-6271",,"Environment ",,,,,
,,,,"Clean Water for Haiti","CWH",,,"info@cleanwaterforhaiti.org","4606 Grant Place, Vancouver, WA 98663","cleanwaterforhaiti.org","2547-3210","US/Canada","Environment, Water & Sanitation, ",,,,,
354,,,,"Développement-Formation-Iformation","DEFI","B-0438",10-Mar-2008,"Claire LE BOLZER","17, Rue Wilson 2, Pacot",,"3558-3214",,"Environment, Health, Education","Port-au-prince Jacmel                  Jérémie                 Hinche                    Cayes",,"French",,
408,,,,"Fòk Haïti Viv","FHAV","B-0381",16-Nov-2005,,"24, Rue Rigaud, Pétion-Ville",,,,"Environment, Housing, Education","Port-au-Prince, Vallée de Jacmel",,"American",,
469,,,,"Fondation Seguin","FS","B-0389",23-Feb-2006,"Philippe LEON","100, Rue Lambert, Pétion-Ville",,"513-4909",,"Environment ","West, South-East",,"Haitian",,
"x",,,"c","Fonds pour la Protection et la Conservation de la Biodiversité","FOPECOB ",,,"atppf@compa.net","Haiti Solidarité Internacionale BP ",,,,"Environment "," ",,,,
"x",,,"c","Fundation Haitienne de l'Environnement","FHE ",,,"fhe_haiti@yahoo.com","42 Rue Magny Petion Ville Port-au-Prince Haiti ",,,,"Environment "," ",,,,
543,,,,"Groupe d'Action Francophone pour l'Environment ","GAFE","B-0320",22-May-2003,"David TILUS","4bis, Rue Jean-Charles, Delmas 33",,"246-5636",,"Environment ","Parc National la Visite, Fond Parisien",,"Haitian",,
,,,,"Haiti Reborn",,,,,"PO Box 5206 Hyattsville, MD 20782","haitireborn.org","(301) 699-0042","US","Environment, Advocacy & Policy, ",,,,,
672,,,,"Konbit Pou Ayiti (Working Together for Haiti)","KONPAY",,,,,"www.konpay.org",,,"Environment, Humanitarian Assistance, Economic Development",,,,,
,,,,"Solar Electric Light Fund","SELF",,,"info@self.org","1612 K St. NW, Suite 402, WDC 20006","www.self.org","202-234-7265","US","Environment, Economic Development, ","Central dept.",,,,
,,,"x","Trees for the Future",,,,"Dave and Grace Deppner, Executive Directors","P.O. Box 7027, Silver Spring, MD, 20907","www.treesftf.org","301.565.0630","USA","Environment ",,,,,"Since 1989, Trees for the Future has been helping communities around the world plant trees. Through seed distribution, agroforestry training, and our country programs, we have empowered rural groups to restore tree cover to their lands. Planting trees protects the environment and helps to preserve traditional livelihoods and cultures for generations. Trees for the Future has been working in Haiti since early 2002 supporting projects throughout the country. Our program focuses on addressing the country and communities’ most urgent needs. Working with local farmers and farming groups, we are planting trees to reforest degraded hillsides, produce sustainable charcoal and fuel wood, produce biodiesel, and establish intensive hillside farming practices.This past season, we assisted 13 different communities along the Arcadine coast establish tree nurseries and receive the necessary training and resources to bring life back to the degraded hillsides. Communities came together and planted 500,000 trees this season. "
,,,"gc","Action Contre la Faim","ACF",,,"Nan Dale, Executive Director info@actionagainsthunger.org ","247 West 37th Street, 10th Floor New York, NY U.S.A. 10018","http://www.actionagainsthunger.org","(212) 967-7800",,"Food Security, Water & Sanitation, ",,,,,
153,,,,"Blue Ridge Christian Homes ","BRCH",,24-Sep-1984,"Jay STOLTZFUS","85, Santo 17, Croix-des-Bouquets, BP.665, P-au-P",,"511-6542",,"Food Security ","West (Léogâne)",,,"# 71  4/11/84",
,,,"x","Bureau de Nutrition et Developpement","BND",,,"1. Rob J. Padberg, Country Director (3403-4889)
2. Michèle Routhier, Coordonatrice (3454-8690)
3. Emmline Toussaint, (445-2275)
4. Alfred Etienne, (3428-5101)
","Rue Soleil en face Bld. 23
Shodecosa, PAP","rpadberg@bndhaiti.org michelle_rt2001@yahoo.com emmlinetoussaint@yahoo.com alfredetienne@yahoo.com  ","2510-784","Haiti","Food Security, Economic Development, ","North, North East, North West, Cap Haitien, Port-au-Prince",,"Dutch",,
,,,"lo","Konbit Peyizan Grandans","KPGA",,,"Nicossa Paulémont, Coordonnateur: konbitpeyizangrandans@yahoo.fr","Buvette, Jérémie","Konbitpeyizangrand’ans@yahoo.fr","3665-7948","Haiti","Food Security, Women's Programs, Human Rights","Département de la Grand-Anse",,"Haiti",,"Créé en aout 1998, KPGA  est une fédération d'organisations paysannes ayant des membres dans toutes les communes du département de la Grand-Anse, à l’exception de Pestel et de Dame-Marie.  Sa mission fondamentale est de d’aider au renforcement des capacités des paysans de manière à ce qu’ils/ qu’elles puissent améliorer leurs conditions d’existence, défendre leurs intérêts et leurs droits fondamentaux et œuvrer en faveur de la protection de l’environnement de la région. "
,,,,"Micronutrient Initiative","MI",,,"mi@micronutrient.org","180 Elgin St., Ste 1000, Ottawa, Ontario CANADA K2p, 2K3","www.micronutrient.org","613-782-6800","Canada","Food Security ",,,,,
,,,"gc","Oxfam America ",,,,,"226 Causeway St., 5th Floor Boston, MA 02114-2206","http://www.oxfamamerica.org/","[(800)-776-9326]",,"Food Security, Humanitarian Assistance, ",,,,,
,,,"x","Poverty alleviation Foundation",,,,,,,,,"Food Security, Humanitarian Assistance, ",,,,,
,,,"x","Sight and life",,,,"Klaus Kraemer, Secretary General, info@sightandlife.org","P.O. Box 2116, CH-4002 Basel, Switzerland","http://www.sightandlife.org/","41 61 815 87 56","Switzerland","Food Security, Health, ",,,"Switzerland",,"SIGHT AND LIFE is a non-profit humanitarian initiative with the mission of fighting micronutrient deficiencies in developing countries. SIGHT AND LIFE provides vitamin A, mostly in the form of capsules, to supplementation projects that enable the free distribution of these capsules to children, women and other groups most at risk of vitamin A deficiency in developing countries. "
,,,,"University of Notre Dame Haiti Program","UNDHP",,,"craig.20@nd.edu","309 Brownson or 351 Galvin, Notre Dame, IN 46556","http://haiti.nd.edu/","547-631-3273","US","Food Security, Health, ",,,,,
1092,,,,"World Food program
387, Bourdon
Local PNUD

",,,,"1. Myrtha Koulard, Représentant et Directeur de pays
2. Romain Sirois, Deputy 3913-1466
3. Raphael Chuinard (3558-3551)
4. Nancy Exilas (3458-4828)  3775-8899
5. Gunel Henry 3713-2274
6. Jean Max Faublas 3568-2344
","387, Bourdon
Local PNUD","
romain.sirois@wfp.org
Raphael.chuinard@wfp.org
Elise.benoit@wfp.org

Jean-max.faublas@wfp.org
","2244-9355",,"Food Security ",,,,,
"x",,,," INTERNATIONAL CHILD CARE","ICC","-",,,,,,,"Health, Food Security, ","West                     Centre",,,,
,,,"gc","Abbott Fund ",,,,"Cindy Schwab, Vice President,  cindy.schwab@abbott.com","Dept. 379, Building 6D 100 Abbott Park Road Abbott Park, IL 60064-3500","http://www.abbottfund.org/",,,"Health ",,,,,"addt'l info: http://www.accessphilanthropy.com/funderinnews.php?funderID=424"
"x",,,"c","Action des Femmes pour l'Epanouissement de la Famille","AFEF ",,,,"Rue Cadet Jérémie # 4 Port-au-Prince Haiti ",,,,"Health, Women's Programs, "," ",,,,
17,,,,"Action Familiale d'Haïti ","AFH",,17-Mar-1987,"M.Fritz FRANCOIS","65, Rue Paul VI, BP. 531, P-au-P",,"222-5181",,"Health ","North West                            South                                     South east                      Center                                                      West                     North",,"Haïtian","# 37  30/4/87",
19,,,,"Action Internationale Contre la Faim ","AICF",,10-Sep-1987,"Olivier LE GUILLOU","49, Rue Jean Baptiste, Canapé-Vert adminrh_haiti@ht.missions-acf.org",,"2245-1886",,"Health, Economic Development, ","North West                             South                                     South east                      Center                                                         West",,"French","# 33  18/4/88",
24,,,,"Adventist Development and Relief Agency ","SAWS-ADRA",,26-Aug-1985,"M. Fritz BISSERETH","70, Diquini 63, Rte de la Mairie, Carrefour                                            BP. 11196, Carrefour",,"234-1035",,"Health, Food Security, ","Haïti",,"American","# 68   26/9/85",
30,,,,"African Methodist Episcopal Church Service And Development Agency ","AMEC/SADA",,17-Nov-1988,"Claude AMBROISE","25, Rue 7, Babiole",,"223-2481",,"Health ",,,,,
43,,,,"Aide à l'enfance Canada ",,,,,"8 impasse Baron, Ave. Jn Paul II, Turgeau, Port au Prince Haiti","aecanada@haitiworld.com","245-2101",,"Health, Children & Youth, ",,,,,
45,,,,"Aide Médicale Internationale ","AMI","B-0308",25-Nov-2002,"Yves Laurent PICHARD","77, Rue Tippenauer, Route de Frères",,"511-0532",,"Health ","Saint-Michel de l'Attalaye",,"French",,
,,,"lo","Alliance pour la Survie et le Developpement de l’Enfant ‘‘Konesans Fanmi se Lespwa Timoun’’","Konesans Fanmi",,,"Marie Antoinette Toureau, konesansfanmi@gmail.com, matoureau@hughes.net  ","104, Ave jean Paul II Turgeau, Port-au-prince, Haïti","www.konesansfanmi.org","2245-2044","Haiti","Health, Education, Economic Development","Ouest, Artibonite, Sud-est, Sud, Nord ",,"Haiti",,
,,,,"American Red Cross",,,," ","American Red Cross National Headquarters 2025 E Street, NW Washington, DC 20006","www.redcross.org","(202) 303 5000","US","Health, Humanitarian Assistance, Disaster Risk Prepairdeness",,,,,
"x",,,"c","America's Development Foundation","ADF ",,,"adf_haiti@yahoo.com cdrh_haiti@yahoo.com ",,,"2245-4050",,"Health, Education, "," ",,,,
74,,,,"Association Arche d'Haïti ","AAH",,4-Jan-1984,"Robert LAROUCHE","Thor 67, Rue Oran, BP. 11075, Carrefour",,"234-2777",,"Health ","                            South                                                                                              West",,"Haitian","# 22, 19/3/84",
77,,,,"Association d'Assistance Medicale aux Humbles","AAMH",,28-Nov-1984,"Marie-Josee MICHEL BROS","2, Imp. Rigaud, Bois Verna",,"2245-2406",,"Health, Education, Humanitarian Assistance",,,"Haitian",1/21/1985,
90,,,,"Association des Oeuvres Privées de Santé","AOPS",,3-Jul-1983,"Philippe HIRSCH","Rue Borno # 41, P-V, BP1389, Delmas",,"257-1085",,"Health ","Haïti",,"Haitian","# 71 4/10/84",
92,,,,"Association des Paysans de Value ","APV",,26-Apr-1989,"Abner SEPTEMBRE","Vallue, 12e. Section communale de Petit-Goâve BP.11014, Carrefour",,"234-3346",,"Health, Education, Agriculture","West (Vallue)",,"Haitian","# 67-A  31/8/89",
94,,,,"Association esfemmes infectées et affectées par le CIH/SIDA","AFHIAVIH",,,"Malia Jean","64 avenue Martin Luther King, Port au Prince Haiti","afhiavih@yahoo.fr","2244-4255",,"Health ",,,,,
"x",,,"c","Association Nationale de Protection des Femmes en Enfants Haitiens","ANAPFEM ",,,,"52 Bis Ruelle Archille Dos-K-Dis Delmas 30",,,,"Health "," ",,,,
115,,,,"Association Para La Cooperacion Con El Sur, Las Segovias","ACSUR","B-0250",28-Jan-1997,"Rosa Pares CANELA","34, Goulard Coin Rue Villate, Place Boyer,       P-V",,"257-2723",,"Health, Education, ","Département du Centre",,"Spanish",,
120,,,,"Association pour la Prévention de l'Alcoolisme et Autres Accoutumances Chimiques ","APAAC",,19-Jun-1989,"Gaëtane B. AUGUSTE","9, Delmas 60                   apaac@hainet.net",,"246-6960",,"Health ","Haïti",,"Haitian","# 74  25/9/89",
124,,,,"Association pour l'Avancement des Jeunes de Cote Plage ","ASSAVEJEC","B-0157",9-Jul-1993,"Mme. Carine HIRSCH","27, rue Tovar Cote Plage 20, Carrefour,       P-au-P",,"245-0437",,"Health, Education, Humanitarian Assistance",,,"Haitian",,
125,,,,"Association pour le Développement Intègre des Populations","ADIP",,9-Aug-1988,"Winnie E. ROBIN","Angle rues Brun Ricot et Caïman, BP.870, P-au-P",,"222-9682",,"Health, Agriculture, Education",,,"Haitian","# 50-A  3/7/89 ",
126,,,,"Association pour le Développement National ","AND",,9-Jul-1993,"Mme Yanick MEZILE","47, Rue Clerveaux, Pétion-Ville. BP2396,    P-au-P",,"257-6483",,"Health, Humanitarian Assistance, ","Carrefour",,"Haitian",,
128,,,,"Association Privée de Santé Aya Mwuana","ASPSAM","B-0363",28-Oct-2004,"Mme. Marie-Yva ASTER","70, Rue Rigaud, Pétion-Ville",,"256-8798",,"Health ","Localité de Bleck, Commune de Thiotte",,"Haitian",,
158,,,,"Bon Samaritain-MISSION d'Aide aux Pauvres ","BOSAMAP",,23-Apr-1987,"Marc Arthur PINARD","154, Lalue",,"245-4225",,"Health ",,,"Haitian","# 62  30/7/87",
,,,,"Caribbean HIV/AIDS Regional Training Network","CHART",,,,"Postgraduate Medical Education Building, UHWI Department of Community Health & Psychiatry UWI Mona, Kingston 7 Jamaica","www.chartcaribbean.org","876-977-2717",,"Health, HIV/AIDS, Education",,,,,
"x",,,"c","Caritas ",,,,"secretaria@caritashaiti.org ","No.31 Port-au-Prince Haiti","http://www.adfusa.org/ ","2246-1690",,"Health, Economic Development, Disaster Risk Prepairdeness"," ",,,,
181,,,,"Catholic Medical Mission Board","CMMB","B-0396",10-Jul-2006,"Diane S.Jean-François"," 6, Delmas 50",,"246-1964",,"Health ","Gros-Morne        Milot                   Fonds Blancs       Cité Soleil",,"American",,
187,,,,"Center For Community Health, Education And Research, Inc ","CCHER","B-0348",10-Dec-2003,"Eustache Ernst JEAN-LOUIS","Delmas 31, Rue Nissage Saget # 15, Port-au-Prince, Haïti",,"414-5042",,"Health ","Pétion-Ville",,"American","# 29     14/4/05",
201,,,,"Centre d'appui familial","CAFA",,,,"Rue Mgr Guilloux Morne Lelio  1 rue Cange Port au Prince",," 222-1005",,"Health, Women's Programs, ",,,,,
203,,,,"Centre d'Appui pour le Développement Intégré ","CADRI","B-0193",3-Jul-1995,"Agathe PELLERIN","St. Michel de l'Attalaye, BP.1118",,"223-0554",,"Health, Education, Agriculture","St-Michel de l'Attalaye",,"Haitian",,
205,,,,"Centre de Coopération Internationale en Santé et en Développement","CCISD","B-0399",10-Jul-2006,"Danielle BRADY","7, Rte Ntle 1, Frecyneau, Saint Marc",,"551-2358",,"Health ","Département Artibonite",,"Canadian",,
